Timestamp,Current Position,Firm Name,Commercial or Federal Practice,Title Position,Country,Base Salary (USD),Estimated Annual Bonus (USD),Expected total compensation,Average hours per week of work,Received offer from other company this year
9/29/2021 13:48:03,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,60000,500,60500,40-49,No
10/1/2021 22:12:39,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,62000,0,62000,40-49,Yes
10/1/2021 1:24:36,Yes,RSM,Not Applicable or Don't Know,Analyst,United States of America,62000,300,62300,50-59,No
10/1/2021 1:23:03,No,,,,United States of America,62000,300,62300,50-59,No
9/29/2021 15:41:50,Yes,Other or Boutique,Federal/government Practice,Analyst,United States of America,63000,0,63000,40-49,No
9/29/2021 17:37:38,Yes,Protiviti,Commercial/non-federal Practice,Consultant/Associate,United States of America,62000,2480,64480,50-59,No
9/29/2021 15:54:07,Yes,Other or Boutique,Federal/government Practice,Analyst,United States of America,60000,5000,65000,40-49,Yes
9/29/2021 21:30:27,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,60000,5000,65000,40-49,Yes
9/30/2021 15:12:29,Yes,EY,Commercial/non-federal Practice,Analyst,United States of America,60000,5000,65000,40-49,No
9/29/2021 20:17:09,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,63000,2000,65000,50-59,No
9/29/2021 17:29:27,Yes,Other or Boutique,Federal/government Practice,Analyst,United States of America,65000,0,65000,40-49,Yes
10/1/2021 14:36:03,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,63000,2000,65000,40-49,No
9/29/2021 14:41:33,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,65000,0,65000,40-49,No
9/29/2021 20:13:19,Yes,PwC,Not Applicable or Don't Know,Consultant/Associate,United States of America,65000,0,65000,40-49,No
9/30/2021 18:02:57,Yes,EY,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,58905,6295,65200,40-49,No
9/30/2021 15:09:57,Yes,Capgemini,Commercial/non-federal Practice,Analyst,United States of America,65520,0,65520,<40,Yes
9/29/2021 19:32:31,Yes,Not Applicable,Not Applicable or Don't Know,Analyst,United States of America,60000,6000,66000,50-59,No
9/29/2021 11:57:54,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,64000,2500,66500,40-49,No
10/1/2021 10:20:12,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,67000,0,67000,40-49,No
10/1/2021 10:12:42,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,62000,5000,67000,40-49,No
9/29/2021 14:22:19,Yes,Capgemini,Commercial/non-federal Practice,Consultant/Associate,United States of America,67000,0,67000,60-69,No
10/2/2021 0:16:47,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,62000,5000,67000,40-49,No
9/29/2021 20:25:57,Yes,Other or Boutique,Federal/government Practice,Consultant/Associate,United States of America,67500,0,67500,40-49,Yes
9/29/2021 12:09:17,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,65000,3000,68000,40-49,No
9/30/2021 11:07:50,Yes,Capgemini,Commercial/non-federal Practice,Consultant/Associate,United States of America,68000,0,68000,40-49,No
9/29/2021 10:54:51,Yes,Other or Boutique,Federal/government Practice,Consultant/Associate,United States of America,66000,3000,69000,40-49,No
10/1/2021 14:14:37,No,,,,United States of America,69000,0,69000,Not applicable/not currently working,No
10/9/2021 1:17:41,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,63600,5500,69100,40-49,No
9/29/2021 21:20:31,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,62300,7000,69300,40-49,No
9/29/2021 23:37:06,Yes,Protiviti,Commercial/non-federal Practice,Consultant/Associate,United States of America,68000,1500,69500,40-49,No
9/29/2021 13:59:27,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,65000,5000,70000,40-49,No
9/29/2021 18:25:40,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,65000,5000,70000,40-49,No
10/1/2021 13:48:53,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,65000,5000,70000,40-49,No
9/30/2021 13:45:36,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,70000,0,70000,50-59,Yes
9/30/2021 18:19:23,Yes,Capgemini,Commercial/non-federal Practice,Analyst,United States of America,70000,0,70000,50-59,No
10/2/2021 2:28:03,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,70000,0,70000,40-49,No
9/29/2021 11:51:07,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,67000,3000,70000,<40,No
9/29/2021 13:44:45,Yes,Protiviti,Commercial/non-federal Practice,Consultant/Associate,United States of America,67000,3000,70000,50-59,No
9/30/2021 18:02:26,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,68500,2000,70500,50-59,No
10/5/2021 17:15:24,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,70000,500,70500,50-59,No
9/30/2021 17:16:06,Yes,Protiviti,Commercial/non-federal Practice,Analyst,United States of America,68000,2720,70720,<40,No
9/30/2021 15:39:50,Yes,EY,Commercial/non-federal Practice,Analyst,United States of America,68000,3000,71000,40-49,No
9/29/2021 21:56:34,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,66000,5000,71000,40-49,Yes
9/30/2021 21:59:07,Yes,Other or Boutique,Federal/government Practice,Manager,United States of America,65000,6000,71000,40-49,No
9/29/2021 11:07:13,Yes,Other or Boutique,Not Applicable or Don't Know,Senior Consultant/Senior Associate,United States of America,68000,3000,71000,40-49,No
10/1/2021 10:17:04,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,71000,600,71600,40-49,Yes
9/29/2021 11:47:55,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,67000,4700,71700,40-49,No
9/30/2021 0:57:28,Yes,Other or Boutique,Federal/government Practice,Analyst,United States of America,70000,2000,72000,40-49,No
10/1/2021 13:28:58,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,70000,2000,72000,40-49,No
9/29/2021 20:44:39,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,72000,0,72000,50-59,Yes
10/1/2021 11:21:08,Yes,KPMG,Not Applicable or Don't Know,Consultant/Associate,United States of America,72000,0,72000,40-49,No
9/30/2021 8:29:11,No,,,,United States of America,70000,2000,72000,50-59,No
9/30/2021 20:02:46,No,,,,United States of America,72000,0,72000,40-49,No
9/29/2021 10:45:07,Yes,KPMG,Federal/government Practice,Consultant/Associate,United States of America,72000,1,72001,40-49,No
10/1/2021 13:36:13,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,68000,4009,72009,50-59,No
9/30/2021 8:54:21,Yes,Deloitte,Federal/government Practice,Senior Manager,United States of America,16100,56000,72100,50-59,No
10/1/2021 13:09:33,Yes,EY,Not Applicable or Don't Know,Consultant/Associate,United States of America,70900,1500,72400,60-69,Yes
10/1/2021 13:28:02,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,72600,0,72600,40-49,No
10/1/2021 3:50:51,No,,,,United States of America,70600,2000,72600,40-49,Yes
10/1/2021 7:57:38,Yes,Capgemini,Commercial/non-federal Practice,Analyst,United States of America,68000,5000,73000,<40,No
9/29/2021 10:42:19,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,72000,1000,73000,40-49,No
9/29/2021 18:54:41,Yes,Other or Boutique,Not Applicable or Don't Know,Senior Consultant/Senior Associate,United States of America,70000,3000,73000,50-59,No
9/29/2021 19:59:20,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,71900,1500,73400,40-49,No
10/1/2021 8:35:55,Yes,Guidehouse/Navigant,Federal/government Practice,Consultant/Associate,United States of America,71400,2500,73900,40-49,No
10/1/2021 13:24:43,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,66000,8000,74000,50-59,No
9/29/2021 10:41:28,Yes,KPMG,Commercial/non-federal Practice,Analyst,United States of America,69000,5000,74000,40-49,No
9/30/2021 21:50:56,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,74000,0,74000,40-49,No
9/29/2021 13:21:24,Yes,Capgemini,Commercial/non-federal Practice,Consultant/Associate,United States of America,68000,6000,74000,40-49,Yes
9/29/2021 10:39:05,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,70000,4000,74000,50-59,No
9/29/2021 18:48:58,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,74000,0,74000,40-49,No
9/30/2021 22:42:13,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,66000,8000,74000,40-49,No
9/29/2021 11:50:29,Yes,Other or Boutique,Federal/government Practice,Analyst,United States of America,74500,0,74500,<40,No
9/29/2021 17:32:59,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,75000,0,75000,40-49,No
9/29/2021 20:23:11,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,67000,8000,75000,40-49,No
9/29/2021 19:36:56,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,70000,5000,75000,60-69,No
9/30/2021 15:03:10,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,70000,5000,75000,40-49,No
9/29/2021 13:08:57,Yes,EY,Not Applicable or Don't Know,Consultant/Associate,United States of America,72000,3000,75000,40-49,No
9/29/2021 23:52:17,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,72000,3000,75000,60-69,No
10/1/2021 10:03:36,Yes,EY,Not Applicable or Don't Know,Consultant/Associate,United States of America,72000,3000,75000,40-49,No
10/1/2021 1:47:01,Yes,IBM,Federal/government Practice,Consultant/Associate,United States of America,75000,0,75000,40-49,No
10/1/2021 11:13:54,Yes,Capco,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,0,75000,60-69,No
10/1/2021 11:29:39,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,0,75000,40-49,No
10/6/2021 8:21:53,Yes,Other or Boutique,Federal/government Practice,Consultant/Associate,United States of America,75000,0,75000,50-59,No
9/29/2021 12:24:14,Yes,RSM,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,200,75200,40-49,No
10/7/2021 9:44:11,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,73000,2300,75300,40-49,No
9/30/2021 16:29:05,Yes,EY,Not Applicable or Don't Know,Consultant/Associate,United States of America,72500,3000,75500,50-59,No
9/29/2021 22:07:01,Yes,RSM,Not Applicable or Don't Know,Consultant/Associate,United States of America,71000,5000,76000,40-49,Yes
10/18/2021 21:19:57,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,72000,4000,76000,40-49,Yes
9/30/2021 16:02:09,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,74500,1500,76000,40-49,No
9/29/2021 22:59:36,Yes,PwC,Not Applicable or Don't Know,Senior Consultant/Senior Associate,United States of America,68000,8000,76000,40-49,No
9/29/2021 12:26:05,Yes,Capgemini,Commercial/non-federal Practice,Analyst,United States of America,76000,10,76010,<40,No
9/30/2021 20:24:15,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,74200,2000,76200,50-59,No
9/30/2021 20:37:45,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,74200,2000,76200,40-49,No
10/1/2021 11:51:36,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,73000,3500,76500,40-49,Yes
9/29/2021 19:11:42,Yes,KPMG,Federal/government Practice,Consultant/Associate,United States of America,69000,7500,76500,40-49,No
9/29/2021 15:53:45,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,70000,7000,77000,40-49,No
9/30/2021 20:58:49,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,70000,7000,77000,40-49,No
10/10/2021 22:10:10,Yes,Independent Consultant,Commercial/non-federal Practice,Analyst,United States of America,70000,7000,77000,40-49,No
9/30/2021 0:13:35,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,72000,5000,77000,50-59,No
9/29/2021 19:33:52,Yes,Other or Boutique,Federal/government Practice,Analyst,United States of America,74000,3000,77000,40-49,No
9/29/2021 11:59:34,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,75000,2000,77000,40-49,No
9/30/2021 18:15:26,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,77000,0,77000,40-49,No
10/1/2021 14:10:56,Yes,Other or Boutique,Federal/government Practice,Analyst,United States of America,77000,0,77000,40-49,Yes
10/1/2021 0:10:30,Yes,Other or Boutique,Not Applicable or Don't Know,Consultant/Associate,United States of America,70000,7000,77000,60-69,No
9/29/2021 12:10:36,Yes,Other or Boutique,Not Applicable or Don't Know,Consultant/Associate,United States of America,72000,5000,77000,<40,No
9/29/2021 20:08:08,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,72000,5000,77000,40-49,Yes
9/30/2021 19:54:23,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,72000,5000,77000,40-49,No
9/29/2021 13:24:50,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,72500,4500,77000,80,No
9/29/2021 14:10:55,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,77000,0,77000,40-49,No
9/30/2021 17:49:33,Yes,Other or Boutique,Commercial/non-federal Practice,Manager,United States of America,67000,10000,77000,50-59,No
10/5/2021 15:57:57,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,77000,450,77450,50-59,No
9/29/2021 11:33:36,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,70000,7500,77500,40-49,No
9/29/2021 12:44:54,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,70000,7500,77500,50-59,Yes
9/29/2021 23:46:53,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,70000,7500,77500,50-59,No
9/29/2021 23:12:38,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,74500,3000,77500,40-49,No
9/30/2021 10:57:39,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,74500,3000,77500,40-49,No
9/29/2021 23:09:42,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,77000,500,77500,40-49,No
9/30/2021 10:22:55,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,77500,0,77500,40-49,No
9/29/2021 15:33:02,Yes,KPMG,Federal/government Practice,Consultant/Associate,United States of America,73000,4500,77500,40-49,No
9/29/2021 23:30:48,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,2500,77500,40-49,No
10/3/2021 11:52:16,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,2500,77500,40-49,No
9/29/2021 12:34:10,Yes,Other or Boutique,Commercial/non-federal Practice,"Managing Director, Principal, Partner, or C-suite",United States of America,75000,2500,77500,40-49,No
9/29/2021 19:17:52,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,77500,0,77500,40-49,No
9/29/2021 11:50:39,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,76340,1400,77740,40-49,No
9/29/2021 12:53:09,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,71000,7000,78000,40-49,Yes
9/29/2021 20:26:16,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,71000,7000,78000,40-49,No
9/29/2021 10:43:12,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,72000,6000,78000,40-49,No
9/29/2021 15:15:04,Yes,Guidehouse/Navigant,Federal/government Practice,Consultant/Associate,United States of America,72000,6000,78000,40-49,No
9/29/2021 20:50:32,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,72000,6000,78000,40-49,No
10/1/2021 8:16:27,Yes,Capgemini,Federal/government Practice,Consultant/Associate,United States of America,73000,5000,78000,40-49,No
10/5/2021 23:37:21,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,74000,4000,78000,40-49,Yes
10/5/2021 12:10:11,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,78000,0,78000,50-59,No
10/5/2021 12:10:12,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,United States of America,78000,0,78000,50-59,No
9/30/2021 17:16:37,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,78200,0,78200,40-49,No
9/29/2021 13:48:25,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,72000,7000,79000,60-69,No
9/29/2021 17:35:42,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,72500,6500,79000,40-49,No
10/1/2021 2:19:51,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,74000,5000,79000,50-59,Yes
9/29/2021 12:04:37,Yes,EY,Commercial/non-federal Practice,Analyst,United States of America,76000,3000,79000,50-59,No
10/1/2021 11:24:47,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,76000,3000,79000,50-59,No
9/29/2021 15:58:14,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,77000,2000,79000,<40,No
9/29/2021 16:40:22,Yes,FTI,Commercial/non-federal Practice,Consultant/Associate,United States of America,74000,5000,79000,50-59,No
9/30/2021 12:01:15,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,74000,5000,79000,40-49,Yes
10/1/2021 12:48:02,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,74000,5000,79000,40-49,No
10/6/2021 0:02:40,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,75230,3800,79030,40-49,Yes
9/30/2021 6:18:40,Yes,Alvarez & Marsal,Commercial/non-federal Practice,Analyst,United States of America,72000,7200,79200,50-59,Yes
9/29/2021 13:23:21,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,74250,5000,79250,40-49,No
9/29/2021 23:49:22,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,79500,0,79500,<40,No
10/1/2021 1:57:16,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,76500,3000,79500,<40,No
10/5/2021 8:36:14,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,76500,3000,79500,40-49,No
9/30/2021 2:18:47,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,70000,10000,80000,60-69,Yes
10/1/2021 20:51:44,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,70000,10000,80000,40-49,No
9/29/2021 10:46:12,Yes,West Monroe,Commercial/non-federal Practice,Analyst,United States of America,75000,5000,80000,40-49,No
10/1/2021 15:36:59,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,75000,5000,80000,<40,No
9/29/2021 18:10:02,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,78000,2000,80000,40-49,No
9/30/2021 23:50:18,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,0,80000,40-49,Yes
9/30/2021 23:59:12,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,0,80000,50-59,No
10/1/2021 9:06:33,Yes,EY,Commercial/non-federal Practice,Analyst,United States of America,80000,0,80000,50-59,No
10/1/2021 13:45:45,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,0,80000,40-49,No
10/1/2021 13:53:12,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,0,80000,50-59,No
9/30/2021 17:38:32,Yes,IBM,Commercial/non-federal Practice,Consultant/Associate,United States of America,70000,10000,80000,50-59,No
9/29/2021 10:45:14,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,5000,80000,40-49,Yes
9/29/2021 13:04:37,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,5000,80000,50-59,No
9/29/2021 14:44:27,Yes,PwC,Not Applicable or Don't Know,Consultant/Associate,United States of America,75000,5000,80000,40-49,No
10/2/2021 0:22:32,Yes,Capco,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,5000,80000,40-49,No
9/29/2021 12:54:15,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,77000,3000,80000,40-49,No
9/30/2021 10:09:58,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,78000,2000,80000,40-49,No
9/29/2021 13:18:18,Yes,Capgemini,Commercial/non-federal Practice,Consultant/Associate,United States of America,80000,0,80000,50-59,No
9/29/2021 15:34:18,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,80000,0,80000,40-49,Yes
10/1/2021 10:35:09,Yes,Deloitte,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,74600,5400,80000,50-59,No
9/29/2021 10:40:08,Yes,Booz Allen Hamilton,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,78000,2000,80000,40-49,No
10/2/2021 8:58:10,No,,,,United States of America,76000,4000,80000,40-49,No
9/30/2021 22:45:13,Yes,Accenture,Commercial/non-federal Practice,Consultant/Associate,United States of America,80000,1,80001,40-49,No
10/1/2021 13:30:46,Yes,Booz Allen Hamilton,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,80200,0,80200,40-49,No
9/30/2021 19:39:21,Yes,Protiviti,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,73000,7300,80300,50-59,No
9/30/2021 7:52:00,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,77000,3500,80500,50-59,No
9/29/2021 18:48:57,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,78000,2500,80500,40-49,No
9/29/2021 18:37:03,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,78000,2500,80500,50-59,No
9/29/2021 19:25:38,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,71000,10000,81000,50-59,No
9/29/2021 22:36:52,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,74000,7000,81000,40-49,No
9/30/2021 17:37:04,Yes,McKinsey,Commercial/non-federal Practice,Analyst,United States of America,74500,6500,81000,40-49,No
9/29/2021 11:56:43,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,78000,3000,81000,40-49,No
9/29/2021 12:04:45,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,79000,2000,81000,40-49,No
10/1/2021 9:38:11,Yes,Accenture,Federal/government Practice,Analyst,United States of America,80000,1000,81000,40-49,No
10/1/2021 18:28:47,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,1000,81000,50-59,No
9/29/2021 14:16:10,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,6000,81000,40-49,No
9/29/2021 22:41:04,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,76000,5000,81000,50-59,No
9/30/2021 18:28:35,Yes,EY,Commercial/non-federal Practice,Consultant/Associate,United States of America,76000,5000,81000,50-59,No
9/29/2021 12:44:58,Yes,Guidehouse/Navigant,Federal/government Practice,Consultant/Associate,United States of America,80000,1000,81000,60-69,No
9/30/2021 20:05:35,Yes,Guidehouse/Navigant,Federal/government Practice,Consultant/Associate,United States of America,80000,1000,81000,50-59,No
9/29/2021 13:26:07,Yes,FTI,Commercial/non-federal Practice,Consultant/Associate,United States of America,81000,0,81000,40-49,No
9/29/2021 12:16:18,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,79500,2000,81500,40-49,No
9/30/2021 11:41:18,Yes,EY,Commercial/non-federal Practice,Analyst,United States of America,80000,1500,81500,50-59,No
10/8/2021 3:38:49,Yes,KPMG,Commercial/non-federal Practice,Consultant/Associate,United States of America,78500,3000,81500,40-49,No
9/29/2021 13:40:53,Yes,Deloitte,Federal/government Practice,Consultant/Associate,United States of America,78900,3000,81900,40-49,No
9/30/2021 17:13:43,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,75000,7000,82000,40-49,No
9/30/2021 7:49:23,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,77000,5000,82000,50-59,No
10/1/2021 16:55:24,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,77000,5000,82000,<40,No
9/30/2021 0:02:08,Yes,PwC,Not Applicable or Don't Know,Analyst,United States of America,79000,3000,82000,40-49,No
9/29/2021 13:11:44,Yes,Accenture,Federal/government Practice,Analyst,United States of America,80000,2000,82000,40-49,No
9/29/2021 20:40:06,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,2000,82000,40-49,No
9/30/2021 9:38:24,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,80000,2000,82000,40-49,Yes
9/30/2021 15:50:39,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,82000,0,82000,50-59,No
9/29/2021 14:29:48,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,77000,5000,82000,40-49,No
9/29/2021 12:08:32,Yes,Other or Boutique,Commercial/non-federal Practice,Analyst,United States of America,75000,7500,82500,70-79,No
10/1/2021 16:37:24,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,75000,7500,82500,40-49,No
9/30/2021 15:01:13,Yes,Other or Boutique,Federal/government Practice,Consultant/Associate,United States of America,80000,2500,82500,40-49,No
9/30/2021 8:34:32,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,75000,7500,82500,40-49,No
